State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Uttar Pradesh",Maharajganj,"Anandnagar APMC",Wheat,Dara,FAQ,26/02/2026,2425,2625,2525
Gujarat,Ahmedabad,"Sanad APMC",Wheat,Sharbati,FAQ,26/02/2026,2575,2575,2575
"West Bengal",Darjeeling,"Siliguri APMC",Rice,Fine(Basmati),FAQ,26/02/2026,4700,4900,4800
"Tamil Nadu",Namakkal,"Tiruchengode APMC",Maize,"Deshi Red",Local,26/02/2026,2500,3000,2750
"Tamil Nadu",Erode,"Gobichettipalayam(Uzhavar Sandhai ) APMC",Maize,"Deshi Red",Local,26/02/2026,3000,3500,3250
"Tamil Nadu",Namakkal,"Rasipuram(Uzhavar Sandhai ) APMC",Maize,"Deshi Red",Local,26/02/2026,2500,3000,2750
"Tamil Nadu",Salem,"Mettur(Uzhavar Sandhai ) APMC",Maize,"Deshi Red",Local,26/02/2026,2000,2500,2250
"Tamil Nadu",Coimbatore,"Mettupalayam(Uzhavar Sandhai ) APMC",Maize,"Deshi Red",Local,26/02/2026,2500,3000,2750
"Tamil Nadu",Namakkal,"Kumarapalayam(Uzhavar Sandhai ) APMC",Maize,"Deshi Red",Local,26/02/2026,2500,3000,2750
"Tamil Nadu",Ranipet,"Ranipettai(Uzhavar Sandhai ) APMC",Maize,"Deshi Red",Local,26/02/2026,3500,3500,3500
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Maize,"Deshi Red",Local,26/02/2026,1800,2000,1900
"Tamil Nadu",Dharmapuri,"Pennagaram(Uzhavar Sandhai ) APMC",Groundnut,"Big (With Shell)",Local,26/02/2026,5600,6000,5800
"Tamil Nadu",Thiruvarur,"Tiruthuraipoondi(Uzhavar Sandhai ) APMC",Groundnut,"Big (With Shell)",Local,26/02/2026,6000,6000,6000
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai ) APMC",Groundnut,"Big (With Shell)",Local,26/02/2026,6000,7000,6500
"Tamil Nadu",Villupuram,"Gingee(Uzhavar Sandhai ) APMC",Groundnut,"Big (With Shell)",Local,26/02/2026,5000,5000,5000
"Tamil Nadu",Salem,"Ammapet(Uzhavar Sandhai ) APMC",Groundnut,"Big (With Shell)",Local,26/02/2026,5000,6000,5500
"Tamil Nadu",Coimbatore,"Mettupalayam(Uzhavar Sandhai ) APMC",Groundnut,"Big (With Shell)",Local,26/02/2026,7500,8000,7750
"Tamil Nadu",Madurai,"Anna nagar(Uzhavar Sandhai ) APMC",Soyabean,Local,Local,26/02/2026,8000,9000,8500
"Tamil Nadu",Virudhunagar,"Kariyapatti(Uzhavar Sandhai ) APMC",Soyabean,Local,Local,26/02/2026,9500,10000,9750
"Tamil Nadu",Theni,"Theni(Uzhavar Sandhai ) APMC",Soyabean,Local,Local,26/02/2026,8000,8500,8250
"Tamil Nadu",Madurai,"Palanganatham(Uzhavar Sandhai ) APMC",Soyabean,Local,Local,26/02/2026,8000,9000,8500
Gujarat,"Chhota Udaipur","Bodeliu APMC",Cotton,Other,FAQ,26/02/2026,7800,8060,7950
"Himachal Pradesh",Kangra,"SMY Jaisinghpur",Apple,Apple,Medium,26/02/2026,12500,15000,13500
"Himachal Pradesh",Kangra,"SMY Palampur",Apple,Apple,Medium,26/02/2026,12000,14000,13000
Punjab,Ludhiana,"Khanna APMC",Apple,Apple,"Grade A",26/02/2026,8000,8000,8000
Punjab,Hoshiarpur,"Mukerian APMC",Apple,Apple,"Grade B",26/02/2026,8000,10000,9000
Kerala,Malappuram,"Kottakkal APMC",Apple,Other,Local,26/02/2026,17000,17000,17000
"Uttar Pradesh",Shamli,"Kairana APMC",Apple,Other,Medium,26/02/2026,3500,3600,3550
Uttarakhand,Haridwar,"Haridwar Union APMC",Apple,Other,"Grade B",26/02/2026,7500,8200,7800
"Tamil Nadu",Madurai,"Anaiyur(Uzhavar Sandhai ) APMC",Orange,Darjeeling,Local,26/02/2026,10000,12000,11000
"Tamil Nadu","The Nilgiris","Udhagamandalam(Uzhavar Sandhai ) APMC",Orange,Darjeeling,Local,26/02/2026,10000,11000,10500
"Himachal Pradesh",Kullu,"SMY Bhuntar",Orange,Other,Medium,26/02/2026,8000,10000,9000
Haryana,Hissar,"Hansi APMC",Orange,Other,"Grade B",26/02/2026,6000,6000,6000
Haryana,Panipat,"Panipat APMC",Orange,Other,Local,26/02/2026,4000,6000,5000
"Himachal Pradesh",Mandi,"PMY Kangni Mandi",Banana,"Banana - Ripe","Grade B",26/02/2026,3600,4200,4000
"Tamil Nadu",Ramanathapuram,"Paramakudi(Uzhavar Sandhai ) APMC",Banana,Besrai,Local,26/02/2026,4500,5000,4750
"Tamil Nadu",Tenkasi,"Sankarankoil(Uzhavar Sandhai ) APMC",Banana,Besrai,Local,26/02/2026,5000,5000,5000
"Tamil Nadu",Thirupathur,"Natrampalli(Uzhavar Sandhai ) APMC",Banana,Besrai,Local,26/02/2026,4000,5000,4500
"Tamil Nadu",Madurai,"Anna nagar(Uzhavar Sandhai ) APMC",Banana,Besrai,Local,26/02/2026,3500,4000,3750
"Tamil Nadu",Virudhunagar,"Rajapalayam(Uzhavar Sandhai ) APMC",Banana,Besrai,Local,26/02/2026,3500,4000,3750
"Tamil Nadu",Cuddalore,"Cuddalore(Uzhavar Sandhai ) APMC",Banana,Besrai,Local,26/02/2026,4000,4000,4000
"Tamil Nadu",Nagapattinam,"Mayiladuthurai(Uzhavar Sandhai ) APMC",Banana,Besrai,Local,26/02/2026,3500,4000,3750
"Tamil Nadu","The Nilgiris","Gudalur(Uzhavar Sandhai ) APMC",Banana,Besrai,Local,26/02/2026,4000,5000,4500
Nagaland,Wokha,"Baghty APMC",Banana,Other,Local,26/02/2026,3800,4500,4200
Punjab,Bhatinda,"Bhagta Bhai Ka APMC",Banana,Other,Medium,26/02/2026,3000,3000,3000
Kerala,Kozhikode(Calicut),"Perambra APMC",Banana,Robusta,Local,26/02/2026,1500,2200,1600
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai ) APMC",Grapes,Annabesahai,Local,26/02/2026,12000,17000,14500
"Tamil Nadu",Madurai,"Palanganatham(Uzhavar Sandhai ) APMC",Grapes,Annabesahai,Local,26/02/2026,10000,12000,11000
Haryana,Hissar,"Hansi APMC",Grapes,Other,"Grade B",26/02/2026,8000,12000,10000
Haryana,Rohtak,"Meham APMC",Grapes,Other,Medium,26/02/2026,7000,7000,7000
"Himachal Pradesh",Shimla,"SMY Rohroo",Onion,"1st Sort","Grade A",26/02/2026,2100,2300,2200
"Tamil Nadu",Thirupur,"Tiruppur (South) (Uzhavar Sandhai ) APMC",Onion,Bellary,Local,26/02/2026,1500,2000,1750
"Tamil Nadu",Salem,"Thathakapatti(Uzhavar Sandhai ) APMC",Onion,Bellary,Local,26/02/2026,2500,3000,2750
"Tamil Nadu",Madurai,"Thirumangalam(Uzhavar Sandhai ) APMC",Onion,Bellary,Local,26/02/2026,2500,2800,2650
"Tamil Nadu",Sivaganga,"Sivagangai (Uzhavar Sandhai ) APMC",Onion,Bellary,Local,26/02/2026,2600,3000,2800
"Tamil Nadu",Kallakuruchi,"Sankarapuram(Uzhavar Sandhai ) APMC",Onion,Bellary,Local,26/02/2026,4000,4000,4000
"Tamil Nadu",Perambalur,"Perambalur(Uzhavar Sandhai ) APMC",Onion,Bellary,Local,26/02/2026,3000,3200,3100
"Tamil Nadu",Thiruvarur,"Mannargudi II(Uzhavar Sandhai ) APMC",Onion,Bellary,Local,26/02/2026,3000,3800,3400
"Tamil Nadu",Madurai,"Anna nagar(Uzhavar Sandhai ) APMC",Onion,Bellary,Local,26/02/2026,2500,2800,2650
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai ) APMC",Onion,Bellary,Local,26/02/2026,2400,2800,2600
"Tamil Nadu","Nagercoil (Kannyiakumari)","Vadaseri APMC",Onion,Bellary,Local,26/02/2026,3000,3500,3250
